,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
0,Mu??faz?at ?am?h,0,SY,2017-09-08 22:53:55,50,35.17,37.25,75.92,4.74
1,Acari,36,PE,2017-09-08 22:53:55,90,-15.43,-74.62,47.75,1.61
2,Adrar,0,DZ,2017-09-08 22:00:00,21,27.87,-0.29,84.2,11.41
3,Agdas,0,AZ,2017-09-08 22:50:15,62,40.65,47.48,74.75,3.29
4,Aguachica,68,CO,2017-09-08 22:54:02,100,8.31,-73.62,73.13,2.51
5,Akdepe,0,TM,2017-09-08 22:30:00,38,42.06,59.38,75.2,13.87
6,Aksarka,68,RU,2017-09-08 22:54:03,71,66.56,67.8,41.72,15.26
7,Aksay,0,RU,2017-09-08 22:30:00,68,47.26,39.87,68.0,6.71
8,Aksu,48,CN,2017-09-08 22:54:03,55,41.12,80.26,71.33,3.18
9,Albany,90,US,2017-09-08 22:38:00,81,42.65,-73.76,53.6,3.36
10,Alindao,76,CF,2017-09-08 22:54:04,96,5.03,21.21,73.85,3.4
11,Aljezur,76,PT,2017-09-08 22:54:04,100,37.32,-8.8,63.95,17.38
12,Altay,12,CN,2017-09-08 22:54:05,64,47.87,88.12,49.55,3.06
13,Macapa,20,BR,2017-09-08 22:00:00,78,0.04,-51.07,80.6,8.05
14,Ambilobe,0,MG,2017-09-08 22:54:05,53,-13.2,49.05,79.25,19.62
15,Rudnik,88,RU,2017-09-08 22:54:06,82,69.75,61.65,41.36,16.6
16,Ancud,0,CL,2017-09-08 22:54:06,88,-41.87,-73.82,33.08,5.75
17,Antonio Enes,8,MZ,2017-09-08 22:54:07,100,-16.23,39.91,75.11,8.77
18,Anisoc,68,GQ,2017-09-08 22:54:07,98,1.87,10.77,68.81,2.73
19,Ankazoabo,0,MG,2017-09-08 22:54:07,46,-22.28,44.52,74.21,7.09
20,Anloga,40,GH,2017-09-08 22:00:00,88,5.79,0.9,77.0,5.82
21,Antalaha,68,MG,2017-09-08 22:54:08,90,-14.9,50.28,74.03,14.58
22,Antropovo,76,RU,2017-09-08 22:54:08,98,58.4,43.01,56.03,12.57
23,Aonla,8,IN,2017-09-08 22:54:09,73,28.28,79.15,92.21,7.43
24,Aquiraz,40,BR,2017-09-08 22:00:00,69,-3.9,-38.39,78.8,17.22
25,Ardestan,0,IR,2017-09-08 22:54:09,22,33.38,52.37,83.03,4.18
26,Arlit,0,NE,2017-09-08 22:54:10,49,18.74,7.39,77.18,10.0
27,Arraial do Cabo,48,BR,2017-09-08 22:54:10,94,-22.97,-42.03,68.45,18.84
